Novel,event_density,perspective_shift,psychological_density,temporal_density,pos_ratio_adj_adv_to_verb,avg_dependency_depth,repeated_words_per_100_tokens,parallel_ratio
Mrs. Dalloway,0.429567839557,1.79889475445,0.00235533031217,0.0088175227696,0.845193563825,0.4627036077,5.83067635736,0.455691968564
Pride and Prejudice,0.442432708862,1.93596801522,0.00342625613318,0.00666069539512,1.07953518019,0.40048764229,1.90065390653,0.470273686348
Middlemarch,0.495658543995,1.74363115466,0.00453211123255,0.00551992273158,0.96127733805,0.394294371755,2.83658182004,0.440215850452
Jane Eyre,0.236181737842,1.69795286944,0.00295526325799,0.00878357027517,0.876693055715,0.468708634735,1.88739485805,0.436580834402
Great Expectations,0.371779188507,1.95779770555,0.00326819643745,0.00759381825468,0.840149706936,0.463229036172,3.70508439439,0.503307952731
Tess of the d'Urbervilles,0.242124239669,1.58651923458,0.00362329746118,0.00857453981897,0.956346616368,0.470161181963,2.17136433881,0.375040774185
